Device,Test Name,Test Status,Message(s),Test description,Test category
CH3-Border-Leaf-A,VerifyBGPPeerSession,failure,Peer: 10.245.217.7 VRF: default - Incorrect session state - Expected: Established Actual: Active - Peer: 10.245.217.8 VRF: default - Incorrect session state - Expected: Established Actual: Active,Verifies the session state of BGP peers.,BGP
CH3-Border-Leaf-A,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
CH3-Border-Leaf-A,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
CH3-Border-Leaf-A,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
CH3-Border-Leaf-A,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
CH3-Border-Leaf-A,VerifyReachability,failure,Destination 10.245.217.7 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.245.217.8 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
CH3-Border-Leaf-A,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
CH3-Border-Leaf-A,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
CH3-Border-Leaf-A,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
CH3-Border-Leaf-A,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
CH3-Border-Leaf-A,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
CH3-Border-Leaf-A,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
CH3-Border-Leaf-A,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
CH3-Border-Leaf-A,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
CH3-Border-Leaf-A,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
CH3-Border-Leaf-A,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
CH3-Border-Leaf-A,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
CH3-Border-Leaf-A,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
CH3-Border-Leaf-A,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
